review_id,review_date,carrier_code,origin_airport_id,dest_airport_id,raw_review_text
62,2024-04-12,UA,14057,14107,"Got a fantastic deal on UA! Smooth booking process, comfortable flight, and great value for money."
63,2025-08-14,F9,13930,14869,Poor inflight service on F9. The staff ignored cabin requests and cabin comfort was substandard.
64,2024-11-08,UA,15016,14771,Significant departure delay on UA. Spent 48 hours stuck at the gate without clear updates from the airline staff.
65,2025-07-31,F9,15016,14057,"Landed in 14057 with F9, but my checked luggage was lost! Took 2 days to recover my bags."
66,2024-06-08,B6,11298,14771,Ticket prices for B6 to 14771 are way too high for basic economy with zero free baggage allowances.
67,2024-03-25,AA,12478,13204,Flight attendants on AA were super friendly and helpful throughout the trip to 13204. Great experience!
68,2025-10-02,F9,11193,15016,Decent flight with F9. Clean aircraft and punctual landing.
69,2024-04-18,UA,14869,15016,Flight attendants on UA were super friendly and helpful throughout the trip to 15016. Great experience!
70,2025-12-01,NK,11433,12478,On-time departure and early arrival in 12478 with NK. Smooth flight with no issues whatsoever.
71,2024-07-02,WN,14869,13204,"Landed in 13204 with WN, but my checked luggage was lost! Took 2 days to recover my bags."
72,2024-06-19,WN,12478,12892,"Got a fantastic deal on WN! Smooth booking process, comfortable flight, and great value for money."
73,2025-04-17,WN,11193,14057,Poor inflight service on WN. The staff ignored cabin requests and cabin comfort was substandard.
74,2024-02-15,AA,13930,12478,Flight attendants on AA were super friendly and helpful throughout the trip to 12478. Great experience!
75,2025-11-22,UA,12892,12266,Ticket prices for UA to 12266 are way too high for basic economy with zero free baggage allowances.
76,2024-05-25,F9,14107,15016,Significant departure delay on F9. Spent 34 hours stuck at the gate without clear updates from the airline staff.
77,2024-04-19,B6,13303,14771,On-time departure and early arrival in 14771 with B6. Smooth flight with no issues whatsoever.
78,2025-09-01,NK,15016,14771,"Landed in 14771 with NK, but my checked luggage was lost! Took 2 days to recover my bags."
79,2025-05-07,DL,14107,12478,"Landed in 12478 with DL, but my checked luggage was lost! Took 2 days to recover my bags."
80,2024-03-13,AA,13930,10397,Flight attendants on AA were super friendly and helpful throughout the trip to 10397. Great experience!
81,2024-11-08,F9,11298,14057,"Got a fantastic deal on F9! Smooth booking process, comfortable flight, and great value for money."
82,2025-02-26,DL,11298,14107,On-time departure and early arrival in 14107 with DL. Smooth flight with no issues whatsoever.
83,2024-04-11,UA,13204,11433,On-time departure and early arrival in 11433 with UA. Smooth flight with no issues whatsoever.
84,2025-05-10,AS,11433,12892,"Got a fantastic deal on AS! Smooth booking process, comfortable flight, and great value for money."
85,2024-02-13,AA,12266,13930,On-time departure and early arrival in 13930 with AA. Smooth flight with no issues whatsoever.
86,2024-03-04,NK,14107,11298,Ticket prices for NK to 11298 are way too high for basic economy with zero free baggage allowances.
87,2025-11-23,AA,12478,11193,Flight AA from 12478 to 11193 on 2025-11-23 was delayed by 44 minutes. Missed my connecting flight! Very disappointing service.
88,2025-05-07,AS,11193,13930,Decent flight with AS. Clean aircraft and punctual landing.
89,2025-11-15,NK,15016,14869,Flight attendants on NK were super friendly and helpful throughout the trip to 14869. Great experience!
90,2024-06-07,B6,13930,10397,Significant departure delay on B6. Spent 102 hours stuck at the gate without clear updates from the airline staff.
91,2024-01-13,B6,12478,11193,"Landed in 11193 with B6, but my checked luggage was lost! Took 2 days to recover my bags."
92,2025-01-24,DL,14869,13204,Careless handling of luggage on flight DL. My suitcase was dented upon arrival.
93,2025-06-01,F9,12266,13930,"Landed in 13930 with F9, but my checked luggage was lost! Took 2 days to recover my bags."
94,2024-07-16,WN,10397,11433,Careless handling of luggage on flight WN. My suitcase was dented upon arrival.
95,2025-06-09,WN,14771,12892,Flight attendants on WN were super friendly and helpful throughout the trip to 12892. Great experience!
96,2024-02-25,WN,11433,12478,Flight attendants on WN were super friendly and helpful throughout the trip to 12478. Great experience!
97,2024-07-25,AA,13303,12266,Significant departure delay on AA. Spent 51 hours stuck at the gate without clear updates from the airline staff.
98,2025-03-13,UA,12892,13930,Ticket prices for UA to 13930 are way too high for basic economy with zero free baggage allowances.
99,2025-10-10,NK,10397,11193,"Got a fantastic deal on NK! Smooth booking process, comfortable flight, and great value for money."
100,2025-09-19,F9,14057,12892,"Landed in 12892 with F9, but my checked luggage was lost! Took 2 days to recover my bags."
101,2025-06-18,AS,14107,13303,Poor inflight service on AS. The staff ignored cabin requests and cabin comfort was substandard.
102,2025-10-27,AA,12892,12266,Decent flight with AA. Clean aircraft and punctual landing.
103,2024-06-23,F9,10397,14771,Flight attendants on F9 were super friendly and helpful throughout the trip to 14771. Great experience!
104,2024-10-03,AS,10397,14057,Ticket prices for AS to 14057 are way too high for basic economy with zero free baggage allowances.
105,2025-02-03,DL,10397,11433,"Landed in 11433 with DL, but my checked luggage was lost! Took 2 days to recover my bags."
106,2025-01-30,UA,11298,14057,Decent flight with UA. Clean aircraft and punctual landing.
107,2024-11-14,AS,13930,14057,Careless handling of luggage on flight AS. My suitcase was dented upon arrival.
108,2025-03-26,WN,13930,15016,"Landed in 15016 with WN, but my checked luggage was lost! Took 2 days to recover my bags."
109,2024-02-06,DL,14771,11433,"Landed in 11433 with DL, but my checked luggage was lost! Took 2 days to recover my bags."
110,2024-06-14,DL,14869,10397,Ticket prices for DL to 10397 are way too high for basic economy with zero free baggage allowances.
111,2025-11-02,WN,12266,12478,Poor inflight service on WN. The staff ignored cabin requests and cabin comfort was substandard.
112,2024-06-09,AA,12892,13930,Flight AA from 12892 to 13930 on 2024-06-09 was delayed by 65 minutes. Missed my connecting flight! Very disappointing service.
113,2025-01-17,NK,14869,14107,"Landed in 14107 with NK, but my checked luggage was lost! Took 2 days to recover my bags."
114,2024-05-09,AS,11298,13204,Flight attendants on AS were super friendly and helpful throughout the trip to 13204. Great experience!
115,2025-07-06,AS,13204,15016,Flight AS from 13204 to 15016 on 2025-07-06 was delayed by 101 minutes. Missed my connecting flight! Very disappointing service.
116,2024-06-03,DL,14771,14869,Flight attendants on DL were super friendly and helpful throughout the trip to 14869. Great experience!
117,2025-03-28,NK,15016,10397,Flight attendants on NK were super friendly and helpful throughout the trip to 10397. Great experience!
118,2024-11-10,AS,11298,12266,Ticket prices for AS to 12266 are way too high for basic economy with zero free baggage allowances.
119,2025-08-13,F9,12478,11433,"Landed in 11433 with F9, but my checked luggage was lost! Took 2 days to recover my bags."
120,2025-01-25,AS,15016,13303,Flight AS from 15016 to 13303 on 2025-01-25 was delayed by 34 minutes. Missed my connecting flight! Very disappointing service.
121,2025-04-15,DL,13930,11298,Flight DL from 13930 to 11298 on 2025-04-15 was delayed by 83 minutes. Missed my connecting flight! Very disappointing service.
122,2025-04-16,NK,11298,13303,Ticket prices for NK to 13303 are way too high for basic economy with zero free baggage allowances.
123,2024-01-22,NK,13204,14771,Ticket prices for NK to 14771 are way too high for basic economy with zero free baggage allowances.
124,2025-07-17,UA,12478,12266,Significant departure delay on UA. Spent 53 hours stuck at the gate without clear updates from the airline staff.
125,2025-02-04,UA,14107,11433,"Got a fantastic deal on UA! Smooth booking process, comfortable flight, and great value for money."
126,2024-01-22,DL,14057,13303,Careless handling of luggage on flight DL. My suitcase was dented upon arrival.
127,2024-10-11,NK,13303,10397,Flight attendants on NK were super friendly and helpful throughout the trip to 10397. Great experience!
128,2024-06-17,NK,14869,14107,Careless handling of luggage on flight NK. My suitcase was dented upon arrival.
129,2025-06-08,DL,14869,13303,Flight DL from 14869 to 13303 on 2025-06-08 was delayed by 148 minutes. Missed my connecting flight! Very disappointing service.
130,2025-08-05,B6,12892,12266,On-time departure and early arrival in 12266 with B6. Smooth flight with no issues whatsoever.
131,2025-11-08,WN,14869,12266,Ticket prices for WN to 12266 are way too high for basic economy with zero free baggage allowances.
132,2025-02-09,WN,12266,13204,Flight WN from 12266 to 13204 on 2025-02-09 was delayed by 139 minutes. Missed my connecting flight! Very disappointing service.
133,2024-02-14,AS,11433,11193,Decent flight with AS. Clean aircraft and punctual landing.
134,2025-11-21,AS,11298,13303,Ticket prices for AS to 13303 are way too high for basic economy with zero free baggage allowances.
135,2024-06-29,F9,14057,13204,Significant departure delay on F9. Spent 138 hours stuck at the gate without clear updates from the airline staff.
136,2025-03-23,B6,14107,11433,"Landed in 11433 with B6, but my checked luggage was lost! Took 2 days to recover my bags."
137,2025-06-23,B6,14869,15016,Ticket prices for B6 to 15016 are way too high for basic economy with zero free baggage allowances.
138,2025-06-06,DL,14057,11433,"Got a fantastic deal on DL! Smooth booking process, comfortable flight, and great value for money."
139,2024-10-28,B6,11433,10397,Poor inflight service on B6. The staff ignored cabin requests and cabin comfort was substandard.
140,2025-09-01,DL,13930,12478,Significant departure delay on DL. Spent 159 hours stuck at the gate without clear updates from the airline staff.
141,2024-01-07,WN,14107,13204,"Got a fantastic deal on WN! Smooth booking process, comfortable flight, and great value for money."
142,2025-03-09,UA,13930,15016,Significant departure delay on UA. Spent 57 hours stuck at the gate without clear updates from the airline staff.
143,2025-06-21,NK,11298,13204,On-time departure and early arrival in 13204 with NK. Smooth flight with no issues whatsoever.
144,2024-05-30,AS,14771,10397,Careless handling of luggage on flight AS. My suitcase was dented upon arrival.
145,2024-06-24,WN,14107,15016,Ticket prices for WN to 15016 are way too high for basic economy with zero free baggage allowances.
146,2025-09-15,NK,12478,11193,Flight NK from 12478 to 11193 on 2025-09-15 was delayed by 145 minutes. Missed my connecting flight! Very disappointing service.
147,2025-11-09,AS,12892,13303,Poor inflight service on AS. The staff ignored cabin requests and cabin comfort was substandard.
148,2024-12-28,AS,12266,14057,Poor inflight service on AS. The staff ignored cabin requests and cabin comfort was substandard.
149,2024-01-02,AA,14771,12478,"Landed in 12478 with AA, but my checked luggage was lost! Took 2 days to recover my bags."
150,2025-02-24,WN,13204,14869,On-time departure and early arrival in 14869 with WN. Smooth flight with no issues whatsoever.
151,2024-08-29,NK,11193,14057,Flight attendants on NK were super friendly and helpful throughout the trip to 14057. Great experience!
152,2025-02-27,AA,12266,14771,Decent flight with AA. Clean aircraft and punctual landing.
153,2025-02-22,AS,12892,14057,Significant departure delay on AS. Spent 174 hours stuck at the gate without clear updates from the airline staff.
154,2024-08-21,AS,14869,11433,Decent flight with AS. Clean aircraft and punctual landing.
155,2024-08-19,NK,12266,15016,"Landed in 15016 with NK, but my checked luggage was lost! Took 2 days to recover my bags."
156,2024-03-18,WN,11298,13303,"Landed in 13303 with WN, but my checked luggage was lost! Took 2 days to recover my bags."
157,2024-05-04,UA,15016,12478,Flight attendants on UA were super friendly and helpful throughout the trip to 12478. Great experience!
158,2025-05-31,WN,12478,11193,Flight WN from 12478 to 11193 on 2025-05-31 was delayed by 74 minutes. Missed my connecting flight! Very disappointing service.
159,2025-04-12,F9,10397,13303,Decent flight with F9. Clean aircraft and punctual landing.
160,2024-03-05,DL,10397,15016,"Got a fantastic deal on DL! Smooth booking process, comfortable flight, and great value for money."
161,2024-11-17,B6,15016,12478,Significant departure delay on B6. Spent 100 hours stuck at the gate without clear updates from the airline staff.
162,2025-01-18,AS,11433,12478,Significant departure delay on AS. Spent 101 hours stuck at the gate without clear updates from the airline staff.
163,2024-03-09,WN,14057,11433,Flight WN from 14057 to 11433 on 2024-03-09 was delayed by 87 minutes. Missed my connecting flight! Very disappointing service.
164,2025-01-07,DL,15016,14771,"Got a fantastic deal on DL! Smooth booking process, comfortable flight, and great value for money."
165,2025-11-19,WN,10397,12266,Poor inflight service on WN. The staff ignored cabin requests and cabin comfort was substandard.
166,2025-05-10,UA,13303,10397,Ticket prices for UA to 10397 are way too high for basic economy with zero free baggage allowances.
167,2024-08-23,UA,10397,13303,Poor inflight service on UA. The staff ignored cabin requests and cabin comfort was substandard.
168,2025-02-05,DL,14869,12266,Flight attendants on DL were super friendly and helpful throughout the trip to 12266. Great experience!
169,2025-09-13,NK,14057,13303,Decent flight with NK. Clean aircraft and punctual landing.
170,2024-05-30,NK,10397,13930,Poor inflight service on NK. The staff ignored cabin requests and cabin comfort was substandard.
171,2025-11-16,B6,12266,13204,Decent flight with B6. Clean aircraft and punctual landing.
172,2024-11-02,NK,10397,13204,Significant departure delay on NK. Spent 152 hours stuck at the gate without clear updates from the airline staff.
173,2024-02-07,B6,13930,12892,Significant departure delay on B6. Spent 174 hours stuck at the gate without clear updates from the airline staff.
174,2024-03-18,AA,11298,14771,On-time departure and early arrival in 14771 with AA. Smooth flight with no issues whatsoever.
175,2024-05-28,AA,13204,14057,Significant departure delay on AA. Spent 125 hours stuck at the gate without clear updates from the airline staff.
176,2025-07-05,AS,14869,13930,Flight attendants on AS were super friendly and helpful throughout the trip to 13930. Great experience!
177,2025-11-29,WN,12892,12266,On-time departure and early arrival in 12266 with WN. Smooth flight with no issues whatsoever.
178,2024-03-21,WN,11298,14057,Poor inflight service on WN. The staff ignored cabin requests and cabin comfort was substandard.
179,2024-08-19,UA,15016,11433,Poor inflight service on UA. The staff ignored cabin requests and cabin comfort was substandard.
180,2024-08-07,NK,13204,14869,Flight NK from 13204 to 14869 on 2024-08-07 was delayed by 84 minutes. Missed my connecting flight! Very disappointing service.
181,2025-01-01,AS,12478,12892,"Landed in 12892 with AS, but my checked luggage was lost! Took 2 days to recover my bags."
182,2025-03-30,UA,11433,14107,Decent flight with UA. Clean aircraft and punctual landing.
183,2025-01-04,NK,11433,13204,Significant departure delay on NK. Spent 168 hours stuck at the gate without clear updates from the airline staff.
184,2025-10-22,DL,13204,10397,On-time departure and early arrival in 10397 with DL. Smooth flight with no issues whatsoever.
185,2024-03-26,WN,15016,11298,Careless handling of luggage on flight WN. My suitcase was dented upon arrival.
186,2024-11-14,DL,14869,11298,Careless handling of luggage on flight DL. My suitcase was dented upon arrival.
187,2024-07-23,NK,10397,13930,Significant departure delay on NK. Spent 72 hours stuck at the gate without clear updates from the airline staff.
188,2025-07-24,DL,14107,14869,Decent flight with DL. Clean aircraft and punctual landing.
189,2025-10-06,F9,14869,13204,"Got a fantastic deal on F9! Smooth booking process, comfortable flight, and great value for money."
190,2025-04-11,AS,11298,14107,Careless handling of luggage on flight AS. My suitcase was dented upon arrival.
191,2025-10-13,F9,12892,14057,Flight F9 from 12892 to 14057 on 2025-10-13 was delayed by 107 minutes. Missed my connecting flight! Very disappointing service.
192,2024-05-04,UA,11433,14107,Ticket prices for UA to 14107 are way too high for basic economy with zero free baggage allowances.
193,2024-10-26,WN,14869,14771,Significant departure delay on WN. Spent 74 hours stuck at the gate without clear updates from the airline staff.
194,2025-02-06,AA,12892,11193,Significant departure delay on AA. Spent 59 hours stuck at the gate without clear updates from the airline staff.
195,2024-12-30,NK,11193,11298,On-time departure and early arrival in 11298 with NK. Smooth flight with no issues whatsoever.
196,2025-06-18,UA,12892,11433,Ticket prices for UA to 11433 are way too high for basic economy with zero free baggage allowances.
197,2024-07-29,NK,14869,12266,Flight NK from 14869 to 12266 on 2024-07-29 was delayed by 156 minutes. Missed my connecting flight! Very disappointing service.
198,2024-11-30,F9,14107,11433,Flight F9 from 14107 to 11433 on 2024-11-30 was delayed by 124 minutes. Missed my connecting flight! Very disappointing service.
199,2025-10-05,AS,14107,12266,Ticket prices for AS to 12266 are way too high for basic economy with zero free baggage allowances.
200,2025-05-17,WN,10397,13204,Ticket prices for WN to 13204 are way too high for basic economy with zero free baggage allowances.
201,2024-06-10,B6,11433,14057,Flight B6 from 11433 to 14057 on 2024-06-10 was delayed by 169 minutes. Missed my connecting flight! Very disappointing service.
202,2025-07-07,NK,11193,13303,Flight NK from 11193 to 13303 on 2025-07-07 was delayed by 167 minutes. Missed my connecting flight! Very disappointing service.
203,2024-07-19,B6,14869,12478,Ticket prices for B6 to 12478 are way too high for basic economy with zero free baggage allowances.
204,2025-10-07,AA,12892,14771,Flight AA from 12892 to 14771 on 2025-10-07 was delayed by 43 minutes. Missed my connecting flight! Very disappointing service.
205,2025-08-15,UA,11193,12478,"Landed in 12478 with UA, but my checked luggage was lost! Took 2 days to recover my bags."
206,2024-12-26,UA,12478,13303,Ticket prices for UA to 13303 are way too high for basic economy with zero free baggage allowances.
207,2024-12-14,DL,14057,14869,Significant departure delay on DL. Spent 96 hours stuck at the gate without clear updates from the airline staff.
208,2025-04-07,UA,11193,10397,Careless handling of luggage on flight UA. My suitcase was dented upon arrival.
209,2024-12-05,UA,13930,10397,Ticket prices for UA to 10397 are way too high for basic economy with zero free baggage allowances.
210,2024-02-22,F9,14057,14869,Poor inflight service on F9. The staff ignored cabin requests and cabin comfort was substandard.
211,2024-12-10,DL,13303,14771,Ticket prices for DL to 14771 are way too high for basic economy with zero free baggage allowances.
212,2024-06-26,F9,15016,14771,Flight F9 from 15016 to 14771 on 2024-06-26 was delayed by 149 minutes. Missed my connecting flight! Very disappointing service.
213,2024-12-31,NK,13303,14869,Decent flight with NK. Clean aircraft and punctual landing.
214,2025-07-13,F9,14869,12478,Flight attendants on F9 were super friendly and helpful throughout the trip to 12478. Great experience!
215,2025-03-02,B6,11433,14057,On-time departure and early arrival in 14057 with B6. Smooth flight with no issues whatsoever.
216,2025-04-04,DL,14107,15016,Poor inflight service on DL. The staff ignored cabin requests and cabin comfort was substandard.
217,2025-07-23,DL,10397,14057,Ticket prices for DL to 14057 are way too high for basic economy with zero free baggage allowances.
218,2024-02-21,AS,12892,10397,Flight attendants on AS were super friendly and helpful throughout the trip to 10397. Great experience!
219,2024-02-11,DL,14057,11193,"Got a fantastic deal on DL! Smooth booking process, comfortable flight, and great value for money."
220,2024-10-08,F9,11433,13204,Decent flight with F9. Clean aircraft and punctual landing.
221,2024-12-07,DL,14107,13303,Flight DL from 14107 to 13303 on 2024-12-07 was delayed by 121 minutes. Missed my connecting flight! Very disappointing service.
222,2024-09-26,B6,13303,13930,Ticket prices for B6 to 13930 are way too high for basic economy with zero free baggage allowances.
223,2025-11-03,AA,12478,14057,Poor inflight service on AA. The staff ignored cabin requests and cabin comfort was substandard.
224,2024-03-03,NK,13204,12892,"Got a fantastic deal on NK! Smooth booking process, comfortable flight, and great value for money."
225,2024-04-06,F9,12478,11298,Significant departure delay on F9. Spent 140 hours stuck at the gate without clear updates from the airline staff.
226,2025-04-15,AA,15016,13204,Decent flight with AA. Clean aircraft and punctual landing.
227,2024-08-13,DL,12892,14057,Poor inflight service on DL. The staff ignored cabin requests and cabin comfort was substandard.
228,2024-05-28,F9,13303,12892,Poor inflight service on F9. The staff ignored cabin requests and cabin comfort was substandard.
229,2024-05-27,DL,12892,11193,Careless handling of luggage on flight DL. My suitcase was dented upon arrival.
230,2025-05-04,F9,13930,13303,Significant departure delay on F9. Spent 162 hours stuck at the gate without clear updates from the airline staff.
231,2025-04-19,AS,15016,12266,Flight AS from 15016 to 12266 on 2025-04-19 was delayed by 66 minutes. Missed my connecting flight! Very disappointing service.
232,2024-10-23,WN,13930,11433,Significant departure delay on WN. Spent 108 hours stuck at the gate without clear updates from the airline staff.
233,2024-01-23,WN,12266,10397,Significant departure delay on WN. Spent 40 hours stuck at the gate without clear updates from the airline staff.
234,2024-04-25,WN,11298,13303,Careless handling of luggage on flight WN. My suitcase was dented upon arrival.
235,2025-10-30,AS,11298,11193,Ticket prices for AS to 11193 are way too high for basic economy with zero free baggage allowances.
236,2024-07-24,AA,12266,13204,Flight AA from 12266 to 13204 on 2024-07-24 was delayed by 82 minutes. Missed my connecting flight! Very disappointing service.
237,2025-03-18,NK,14057,10397,Decent flight with NK. Clean aircraft and punctual landing.
238,2024-06-09,AA,11433,12892,"Got a fantastic deal on AA! Smooth booking process, comfortable flight, and great value for money."
239,2025-09-17,DL,11298,10397,"Landed in 10397 with DL, but my checked luggage was lost! Took 2 days to recover my bags."
240,2024-12-29,UA,13303,11193,Significant departure delay on UA. Spent 59 hours stuck at the gate without clear updates from the airline staff.
241,2025-04-25,AA,11433,14869,Decent flight with AA. Clean aircraft and punctual landing.
242,2025-02-20,UA,12478,12892,Careless handling of luggage on flight UA. My suitcase was dented upon arrival.
243,2025-03-07,WN,14057,11193,Careless handling of luggage on flight WN. My suitcase was dented upon arrival.
244,2024-02-18,NK,12892,11298,Decent flight with NK. Clean aircraft and punctual landing.
245,2024-05-04,WN,13930,14107,Flight WN from 13930 to 14107 on 2024-05-04 was delayed by 109 minutes. Missed my connecting flight! Very disappointing service.
246,2025-03-18,F9,14107,13303,Ticket prices for F9 to 13303 are way too high for basic economy with zero free baggage allowances.
247,2024-02-27,F9,14107,13930,"Landed in 13930 with F9, but my checked luggage was lost! Took 2 days to recover my bags."
248,2024-09-07,UA,11433,15016,On-time departure and early arrival in 15016 with UA. Smooth flight with no issues whatsoever.
249,2024-08-02,F9,12892,11193,Flight attendants on F9 were super friendly and helpful throughout the trip to 11193. Great experience!
250,2025-06-24,AS,12478,12892,Significant departure delay on AS. Spent 81 hours stuck at the gate without clear updates from the airline staff.
251,2024-07-14,AS,11298,12478,Flight attendants on AS were super friendly and helpful throughout the trip to 12478. Great experience!
252,2024-12-28,DL,11193,12478,Careless handling of luggage on flight DL. My suitcase was dented upon arrival.
253,2025-11-24,B6,13204,15016,Careless handling of luggage on flight B6. My suitcase was dented upon arrival.
